sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,residual,prediction_error,fault_type,severity
193,11.390625040940137,11.607284400454233,221.6221,228.1281322702817,228.63594333245243,0.507811062170731,-7.0138433324524385,oscillation,0.05
194,10.997945195069493,11.612464261327663,221.6221,227.20776044756508,228.64808400644853,1.440323558883449,-7.025984006448539,oscillation,0.05
195,11.332954976239119,11.61154898983033,221.6221,227.992963880248,228.6459387726017,0.6529748923537113,-7.023838772601721,oscillation,0.05
196,11.022103819426821,11.604548680994935,221.6221,227.26438397272915,228.6295312918761,1.3651473191469563,-7.007431291876117,oscillation,0.05
197,10.849197429027988,11.591540545077436,221.6221,226.85912210007592,228.59904253140002,1.7399204313240944,-6.976942531400027,oscillation,0.05
198,11.198894342607202,11.572668055962689,221.6221,227.67874956283913,228.55480876848003,0.8760592056408996,-6.93270876848004,oscillation,0.05
199,11.160676006430583,11.548139368712055,221.6221,227.58917257003458,228.49731788161347,0.9081453115788918,-6.87521788161348,oscillation,0.05
200,11.090025517758018,11.518225023706762,221.6221,227.42358037140468,228.427203969409,1.0036235980043102,-6.805103969409004,oscillation,0.05
201,11.051109111744235,11.48325496270925,221.6221,227.332367226872,228.345240356763,1.012873129890977,-6.723140356762997,oscillation,0.05
202,10.99688774783883,11.443614889754034,221.6221,227.20528197904838,228.25233106543556,1.047049086387176,-6.6302310654355665,oscillation,0.05
203,10.881248800415767,11.39974201700577,221.6221,226.93424482260644,228.149500843096,1.2152560204895622,-6.527400843096018,oscillation,0.05
